month,open,high,low,last,change,settle,volume,openInterest
JAN 21,1922.6,1926.7,1911.6,1912.2,+5.4,1912.3,122,650
FEB 21,1921.5,1929.6,1907.5,1914.8,+5.0,1913.6,"201,234","396,956"
MAR 21,1924.2,1928.8,1912.0,1915.4,+5.2,1915.6,232,463
APR 21,1925.9,1933.8,1912.2,1919.2,+5.0,1918.0,"11,081","102,896"
JUN 21,1928.9,1937.0,1915.5,1920.8,+4.7,1921.1,"8,400","36,748"
AUG 21,1933.8,1938.0,1919.6,1923.7,+4.6,1924.0,"3,301","12,503"
OCT 21,1935.1,1935.3,1929.0,1932.4,+4.4,1926.7,61,"5,857"
DEC 21,1934.5,1945.8,1925.9,1929.1,+3.8,1929.5,"1,025","10,479"
FEB 22,1944.2,1946.7,1932.5,1937.4,+3.7,1932.8,"1,322","2,254"
APR 22,-,-,-,1952.3,+3.2,1935.5,2,18
JUN 22,-,-,-,1954.1,+3.6,1938.4,0,113
AUG 22,-,-,-,1943.5,+3.6,1939.9,0,4
OCT 22,-,-,-,1945.7,+3.6,1943.6,0,0
DEC 22,-,-,-,1962.6,+3.6,1946.9,0,295
JUN 23,-,-,-,-,+3.6,1956.3,0,8
DEC 23,-,-,-,-,+3.6,1965.6,0,6
JUN 24,-,-,-,-,+3.6,1975.1,0,2
DEC 24,-,-,-,-,+3.6,1984.2,0,9
JUN 25,-,-,-,-,+3.6,1993.0,0,0
DEC 25,-,-,-,-,+3.6,2002.1,0,2
JUN 26,-,-,-,-,+3.6,2011.1,0,0
DEC 26,-,-,-,-,+3.6,2020.1,0,0
Total,,,,,,,"226,780","569,263"
2,0,2,1,0,1,0,7
